Date,Value
2019-12-31,130126623900.0
2019-12-30,130818862688.0
2019-12-29,133593153675.0
2019-12-28,132504514519.0
2019-12-27,131249822925.0
2019-12-26,130634548400.0
2019-12-25,129443838825.0
2019-12-24,130707641225.0
2019-12-23,136374280087.5
2019-12-22,134091125125.0
2019-12-21,129350068244.0
2019-12-20,130183593750.0
2019-12-19,129219576938.0
2019-12-18,125582707562.0
2019-12-17,119143813250.0
2019-12-16,124337804375.0
2019-12-15,129030914375.0
2019-12-14,128248684687.5
2019-12-13,130799017681.0
2019-12-12,130503145305.0
2019-12-11,129901597612.5
2019-12-10,130906378444.0
2019-12-09,132620865375.0
2019-12-08,136103312487.5
2019-12-07,135984997188.0
2019-12-06,135916921919.0
2019-12-05,132363383100.0
2019-12-04,134540496000.0
2019-12-03,132066636900.0
2019-12-02,131509464675.0
2019-12-01,132417138125.0
2019-11-30,135261585550.0
2019-11-29,139954857475.0
2019-11-28,137026263650.0
2019-11-27,136783703562.0
2019-11-26,128971614625.0
2019-11-25,129903887000.0
2019-11-24,127173143175.0
2019-11-23,130431388537.5
2019-11-22,131977937950.0
2019-11-21,136724176312.0
2019-11-20,146958929125.0
2019-11-19,146550409100.0
2019-11-18,151696114525.0
2019-11-17,152970317650.0
2019-11-16,153139263988.0
2019-11-15,152842848450.0
2019-11-14,157001940000.0
2019-11-13,158039971075.0
2019-11-12,156554644662.0
2019-11-11,161347000450.0
2019-11-10,163045632975.0
2019-11-09,159006733000.0
2019-11-08,166275411156.25
2019-11-07,165854049338.0
2019-11-06,167948715638.0
2019-11-05,168522165350.0
2019-11-04,170073924275.0
2019-11-03,165214512981.0
2019-11-02,168479775338.0
2019-11-01,164812713300.0
2019-10-31,167025372250.0
2019-10-30,164649209119.0
2019-10-29,170284897431.25
2019-10-28,169600492438.0
2019-10-27,174622503125.0
2019-10-26,163499602000.0
2019-10-25,154966806837.5
2019-10-24,134047704781.0
2019-10-23,134746891950.0
2019-10-22,145384257681.25
2019-10-21,147968069025.0
2019-10-20,142585336031.25
2019-10-19,142852986319.0
2019-10-18,142765116269.0
2019-10-17,143432105000.0
2019-10-16,143968700000.0
2019-10-15,146400709500.0
2019-10-14,149172065568.75
